"rank","track","artist","billed_artist_count","is_collaboration","spotify_streams_total","daily_streams","daily_streams_rank","daily_stream_share_pct"
495,307,342,1,1,-0.46902000949897,-0.717121032870738,698,-1.07649348627381
496,116,118,1,1,-0.469374335290423,-0.207351491062347,301,0.486806777731558
497,252,170,1,1,-0.469412209784051,-0.270775521718639,339,0.292294763316143
498,494,282,1,1,-0.473053852707801,-0.680297722177743,661,-0.961227107360976
499,383,378,1,1,-0.473707666033551,-0.189912953935217,295,0.552544634455286
500,193,269,1,1,-0.474951355682001,-0.686867078396195,667,-0.98103851623662
501,561,203,1,1,-0.4760981687468,-0.716605916028149,697,-1.07199089334753
502,670,189,1,1,-0.477227618050237,-0.584981708593489,574,-0.663155455641058
503,246,124,1,1,-0.479081598368634,-0.741027627088279,715,-1.14673393592383
504,284,351,1,1,-0.479356642661846,-0.589708282801844,577,-0.67576271583465
505,100,104,1,1,-0.479395081007842,-0.0282632538892539,227,1.07214385814832
506,236,267,1,1,-0.480894504210737,-0.664344187161674,644,-0.907195992245583
507,457,9,1,1,-0.481152025707305,-0.40910271400874,429,-0.110237044293536
508,622,294,1,1,-0.481597652208999,-0.641890265546244,620,-0.836955542595572
509,23,357,1,1,-0.484832617817656,-0.256878143471731,333,0.374241954574489
510,166,197,1,1,-0.485050929888067,-0.48541544223273,483,-0.342570839289726
511,529,374,2,2,-0.485098963362808,-0.476580865087246,475,-0.314654763146773
512,486,2,1,1,-0.486099680833468,-0.509317725849078,503,-0.416413363280763
513,371,12,1,1,-0.486803595092639,-0.669991074724779,648,-0.921604289609688
514,671,356,1,1,-0.48725295169461,-0.738626622223661,713,-1.13772875007126
515,78,273,1,1,-0.487660963942231,-0.377577132182201,408,0.00142726027827661
516,138,70,1,1,-0.488632896026653,-0.0851524131366398,250,0.926259847336754
517,661,180,1,1,-0.488787165070493,-0.372344062333644,404,0.0203381505686641
518,550,13,1,1,-0.490119418094615,-0.663984251962041,643,-0.899991843563531
519,319,194,1,1,-0.494590304719106,-0.520908932457619,517,-0.441627883667946
520,224,19,1,1,-0.495117309093228,-0.724783126491668,706,-1.09090178363792
521,610,61,1,1,-0.495555191058562,-0.57053903929564,558,-0.598318117502586
522,122,28,1,1,-0.497598746253643,-0.54445990207672,539,-0.512768851903214
523,520,20,1,1,-0.498461763265409,-0.399030994320806,419,-0.0453997061550641
524,703,364,1,1,-0.498701892085108,-0.680338672889079,662,-0.946818809996871
525,299,254,1,1,-0.499797789763066,-0.718448698038247,699,-1.06928933759176
526,660,298,1,1,-0.50045844642524,-0.703693510153889,682,-1.02156185257317
527,682,239,1,1,-0.501991768239687,0.0144569592360515,216,1.29547246729194
528,120,367,1,1,-0.502009594649145,-0.33097522268241,375,0.181530977329587
529,632,84,1,1,-0.502487683625592,-0.582248787436994,571,-0.628035230816053
530,517,49,1,1,-0.503544598382191,-0.391170613044988,413,-0.00937896274480206
531,474,228,1,1,-0.504233924768578,-0.620113108318149,605,-0.74870472124043
532,65,172,1,1,-0.506029548776587,-0.619143223049676,604,-0.744202128314147
533,233,271,1,1,-0.506679188630969,-0.58399673622084,572,-0.628935749401309
534,375,128,1,1,-0.507494119156233,-0.66552744718921,645,-0.893688213466735
535,401,264,1,1,-0.508132930153612,-0.696391351732592,677,-0.993645776430212
536,25,299,1,1,-0.510115608570029,-0.283248246271191,345,0.357132101454614
537,423,133,1,1,-0.510292123276496,-0.660932346317249,639,-0.87657836034686
538,142,55,1,1,-0.510802944605752,-0.383642148061047,410,0.0311443735917428
539,552,23,1,1,-0.511909825356745,-0.493892239479177,491,-0.328162541925621
540,256,75,1,1,-0.51199056708804,0.228896436794658,164,2.04110185588436
541,354,6,1,1,-0.512847121484212,0.771463187781585,86,3.8268302104481
542,315,181,1,1,-0.513449031476666,-0.349872898313442,387,0.147311271089838
543,28,234,1,1,-0.513542616511883,-0.769753473439829,726,-1.2322832015232
544,402,104,1,1,-0.513795685020523,0.0424198291764033,207,1.43775440376248
545,104,303,1,1,-0.513988262290581,-0.557521023692146,550,-0.534381297949371
546,184,174,1,1,-0.514679863363442,-0.169010848749343,290,0.746156130285444
547,107,206,1,1,-0.515380004149078,-0.339600735670023,379,0.186033570255869
548,679,70,1,1,-0.516154149353108,-0.486676293081744,484,-0.297544910026898
549,422,329,1,1,-0.516544971332403,-0.584348050218087,573,-0.619030044963487
550,531,104,1,1,-0.516605809557058,-0.128633447372547,271,0.88573651100021
551,668,166,1,1,-0.51666629597639,-0.564269269860116,555,-0.553292188239759
552,158,71,1,1,-0.516966385917062,-0.692522587161686,674,-0.976535923310338
553,114,336,1,1,-0.517669119459738,-0.41038511786372,430,-0.0426981503992945
554,161,337,1,1,-0.517974679250297,-0.713569097487533,692,-1.04587585437509
555,499,42,1,1,-0.518964731718489,-0.712870780094233,690,-1.04317429861932
556,560,323,1,1,-0.519175892020412,0.247125969240742,160,2.14105941884784
557,119,335,1,1,-0.519643099128096,-0.515249113090934,510,-0.386696249967297
558,298,386,1,1,-0.521907737462914,-0.670680770915692,650,-0.900892362148787
559,282,164,1,1,-0.52256129054911,-0.415236699506678,433,-0.0481012619108337
560,424,310,1,1,-0.523383763202193,-0.407701768620947,428,-0.0219862229383936
561,248,245,1,1,-0.526712256015054,0.146932510406371,182,1.84839087863946
562,214,256,1,1,-0.527920355494851,-0.667585759258968,646,-0.886484064784682
563,453,57,1,1,-0.528204310583167,-0.327199136037158,373,0.259876094246907
564,84,346,1,1,-0.528559585767068,-0.57748988371969,567,-0.582108782967968
565,341,59,1,1,-0.52962838961589,-0.334281453797602,377,0.240064685371263
566,49,133,1,1,-0.529978074468628,-0.655003114375988,632,-0.842358654107112
567,489,145,1,1,-0.53197981302276,-0.529982747969326,524,-0.41731388186602
568,480,272,1,1,-0.532350350774586,-0.0316233675193609,228,1.27295950266053
569,646,59,1,1,-0.533089831106155,-0.637086100516412,615,-0.779322353139153
570,547,60,2,2,-0.5339839901179,-0.304587877478176,358,0.351728989943075
571,180,371,1,1,-0.53407446673622,0.0523579202273484,203,1.56562804286891
572,37,375,1,1,-0.534645046777906,-0.588518556872518,576,-0.612726414866691
573,492,135,1,1,-0.535305091395202,-0.590893698129976,578,-0.619930563548744
574,475,65,1,1,-0.535426444954695,-0.0677052548071233,240,1.16309623525923
575,293,252,1,1,-0.53584120897297,-0.467394973944516,467,-0.197587347063421
576,260,44,1,1,-0.536477012757724,-0.644985277202969,622,-0.802735836355823
577,159,182,1,1,-0.537591132023723,-0.639991445720635,618,-0.784725464650692
578,455,245,1,1,-0.537892841232731,-0.225462481975618,313,0.633591307128375
579,707,76,1,1,-0.537897535183208,-0.502261271695793,499,-0.313754244561516
580,270,274,1,1,-0.538136247143112,-0.498694249208412,497,-0.301146984367925
581,569,17,1,1,-0.538170189127922,0.509641581907217,111,3.15144127150569
582,108,110,1,1,-0.541154442841678,-0.290446950263852,349,0.421068921007829
583,173,351,1,1,-0.541689977290075,-0.65726833530302,636,-0.840557616936598
584,210,61,1,1,-0.542226692454967,-0.567752235624229,557,-0.531679742193601
585,130,240,1,1,-0.543785175578898,-0.400190546041779,420,0.0500552638821302
586,154,16,1,1,-0.543843107795198,-0.414309920250138,432,0.00052674169302016
587,426,68,1,1,-0.54584662465295,-0.577599804050117,568,-0.561396855507068
588,289,30,1,1,-0.546435773268749,-0.598514841039571,585,-0.632537823742335
589,437,138,1,1,-0.546503122301509,-0.753427071420547,720,-1.17104793772575
590,165,232,1,1,-0.546875626307743,-0.673797335578383,654,-0.893688213466735
591,684,260,1,1,-0.546979312493061,-0.492525778900929,489,-0.264225722372406
592,539,345,1,1,-0.547483782049496,-0.443785811209306,450,-0.0931271911736613
593,2,208,1,1,-0.54798983232026,-0.721914421397587,701,-1.06118467032445
594,528,329,1,1,-0.548553713603053,-0.650940372751388,626,-0.813542059378902
595,688,310,1,1,-0.550517081280704,-0.354903369905917,392,0.223855350836645
